Course,Age at enrollment,Daytime/evening attendance,Area,Caste,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target,Previous Qualification
Political Science,15,1,Himachal Pradesh,Katnatam,1,0,0,1,Female,0,12.16666667,13.28571429,11.1,0.6,2.02,Graduate,9
Physics,13,1,Bihar,Bhaina,1,0,0,1,Female,0,0,0,12.7,3.7,-1.7,Graduate,6
Chemistry,13,0,Pondicherry,Nai (Barber),0,0,0,1,Female,0,11.66666667,13.66666667,10.8,1.4,1.74,Graduate,6
Computer Science,12,1,Uttar Pradesh,Rautasvam,1,0,1,0,Female,0,12.4,14.16666667,8.9,1.4,3.51,Enrolled,8
English,11,1,Telangana,St,0,0,0,1,Female,1,13.4,12.83333333,15.5,2.8,-4.06,Graduate,8
Sociology,16,1,Rajasthan,"Badai (Khati, Carpenter)",1,0,0,1,Female,0,12,12.5,8.9,1.4,3.51,Graduate,7
History,10,1,Bihar,Kachhi,1,0,0,1,Female,0,14.2,14.8,10.8,1.4,1.74,Graduate,7
Political Science,15,1,Bihar,Sudre,0,0,0,1,Female,1,12.125,14.42857143,16.2,0.3,-0.92,Graduate,9
Foreign Language,10,1,Maharashtra,Muslim/Sayd,1,0,0,1,Female,0,13.85714286,13.28571429,11.1,0.6,2.02,Graduate,6
History,16,1,Manipur,Padaiachi,1,0,0,1,Female,0,11.75,12.33333333,12.4,0.5,1.79,Enrolled,9
Psychology,10,1,Delhi,Marer,1,0,0,1,Female,0,14.28333333,13.12555556,15.5,2.8,-4.06,Graduate,9
Political Science,13,1,Uttar Pradesh,Kachhi,0,0,0,1,Female,0,13.27272727,13,7.6,2.6,0.32,Graduate,9
English,13,1,Manipur,Vijmar,1,1,0,1,Female,0,14.66666667,15.14285714,8.9,1.4,3.51,Graduate,7
Psychology,15,1,Punjab,Manigaicr,0,0,0,1,Female,1,15.115,15.092,15.5,2.8,-4.06,Graduate,7
Physics,10,1,Maharashtra,Vasudev,1,0,0,1,Female,0,0,0,9.4,-0.8,-3.12,Enrolled,8
History,10,1,Bihar,Ambalm,1,0,0,1,Female,0,15,13.14285714,16.2,0.3,-0.92,Graduate,7
Foreign Language,16,1,Kerala,Vijmar,0,0,0,1,Female,0,13.2,14.33333333,9.4,-0.8,-3.12,Graduate,9
Sociology,16,1,Maharashtra,Dhanvar,1,0,0,1,Female,1,11,10.33333333,7.6,2.6,0.32,Dropout,6
Psychology,16,1,Arunachal Pradesh,Sc/Pl,0,0,0,1,Female,1,14.56571429,14.56571429,10.8,1.4,1.74,Graduate,9
Art,16,1,Uttar Pradesh,Paingam,1,0,1,0,Female,0,12,10.75,7.6,2.6,0.32,Dropout,8
Political Science,10,1,Arunachal Pradesh,Ambacam,0,0,0,1,Female,0,0,0,8.9,1.4,3.51,Dropout,9
Psychology,10,1,Tripura,Chipa,1,0,0,1,Female,0,13.79666667,13.775,12.4,0.5,1.79,Graduate,6
Music,14,1,Dadra & Nagar Haveli,Pal,1,0,0,1,Female,0,14.83333333,15.33333333,12.7,3.7,-1.7,Graduate,9
Political Science,12,1,Maharashtra,Mooppar,1,0,0,1,Female,0,12.83333333,13.83333333,12.4,0.5,1.79,Graduate,9
Psychology,10,1,Bihar,Varua,1,0,0,1,Female,1,14.96285714,14.96285714,10.8,1.4,1.74,Graduate,7
Economics,11,1,Punjab,Banji,1,0,0,1,Female,0,12,11.2,11.1,0.6,2.02,Graduate,6
Psychology,14,1,Pondicherry,Jasodi,1,0,0,1,Female,0,12.4,12.8,16.2,0.3,-0.92,Graduate,7
Art,11,1,Bihar,Sc/Pl,1,0,0,1,Female,0,15.57142857,17.16666667,16.2,0.3,-0.92,Graduate,9
Psychology,13,1,Daman & Diu,Sahu (Oilman),1,0,0,1,Female,0,13.71428571,13.71428571,12.7,3.7,-1.7,Graduate,7
History,11,1,Himachal Pradesh,Dilai,0,0,0,1,Female,0,13.14285714,12.16666667,13.9,-0.3,0.79,Graduate,6
English,13,1,Andaman & Nicobar Islands,Kumhar (Potter),0,0,0,1,Female,0,15,11,11.1,0.6,2.02,Graduate,8
History,11,1,Dadra & Nagar Haveli,Jain,0,0,1,0,Female,0,13,0,7.6,2.6,0.32,Dropout,7
Political Science,15,1,Bihar,Darji (Tailor),0,0,0,1,Female,1,12,12.75,13.9,-0.3,0.79,Graduate,7
Physics,12,1,Andaman & Nicobar Islands,Sikhi,1,0,0,1,Female,0,0,0,9.4,-0.8,-3.12,Graduate,7
English,15,1,Ladakh,Vijmar,1,0,0,1,Female,0,15.16666667,14.16666667,15.5,2.8,-4.06,Graduate,7
Chemistry,13,0,Kerala,Asooy,0,0,1,1,Female,0,12,10.5,7.6,2.6,0.32,Dropout,8
Psychology,12,1,Uttaranchal,Serva,0,1,0,1,Female,0,13.64285714,14.77272727,16.2,0.3,-0.92,Graduate,6
Music,13,1,Rajasthan,Marer,1,0,0,1,Female,0,12.66666667,12.71428571,9.4,-0.8,-3.12,Graduate,6
Physics,13,1,Tamil Nadu,Kamalar,1,0,0,1,Female,0,0,0,15.5,2.8,-4.06,Dropout,9
Political Science,14,1,Delhi,Dhobi,0,0,0,1,Female,1,10.8,10.5,12.4,0.5,1.79,Graduate,6
Psychology,14,1,Sikkim,Vallalam,0,0,0,1,Female,1,14.25,13.06363636,16.2,0.3,-0.92,Graduate,8
Foreign Language,13,1,Assam,Varma,0,0,0,1,Female,0,12.15384615,12.9,10.8,1.4,1.74,Dropout,8
Political Science,10,1,Kerala,Kanojia,1,0,0,1,Female,0,11.5,10.5,7.6,2.6,0.32,Enrolled,7
Sociology,12,1,Pondicherry,Sahu (Oilman),1,0,0,1,Female,1,12.25,12.33333333,9.4,-0.8,-3.12,Graduate,7
English,10,1,Meghalaya,Majhe,0,0,0,1,Female,1,12,11.14285714,13.9,-0.3,0.79,Enrolled,9
Psychology,13,1,Uttaranchal,Shikari Pardhi,1,0,0,1,Female,1,13.40375,13.40375,9.4,-0.8,-3.12,Graduate,7
Sociology,10,1,Manipur,Ambalm,0,0,0,1,Female,1,11.33333333,12.66666667,9.4,-0.8,-3.12,Graduate,9
Music,15,1,West Bengal,Schedule Caste,0,0,1,1,Male,0,12.2,12.33333333,12.7,3.7,-1.7,Dropout,9
Physics,13,1,Arunachal Pradesh,Pal,1,0,0,1,Male,1,0,0,7.6,2.6,0.32,Enrolled,6
Psychology,14,1,Nagaland,Sachiyar,1,0,0,1,Male,0,0,0,16.2,0.3,-0.92,Dropout,8
Biology,16,1,Chhattisgarh,Chaman,0,0,1,0,Male,0,16.16666667,16,8.9,1.4,3.51,Dropout,7
Geography,12,1,Meghalaya,Kewamkat,0,0,0,1,Male,0,11,11,16.2,0.3,-0.92,Enrolled,7
Physics,11,1,Pondicherry,Chipa,1,0,0,1,Male,1,0,0,13.9,-0.3,0.79,Graduate,9
Music,11,1,Meghalaya,Varua,1,0,0,1,Male,1,12,12.28571429,15.5,2.8,-4.06,Enrolled,8
Economics,15,1,Jharkhand,Ambacam,1,0,0,1,Male,0,10.5,12.25,10.8,1.4,1.74,Enrolled,9
English,11,1,Tamil Nadu,Mehteer,1,0,0,1,Male,0,11.66666667,10.33333333,13.9,-0.3,0.79,Enrolled,7
Economics,10,1,Sikkim,Murg,1,0,0,1,Male,0,11,10,12.7,3.7,-1.7,Dropout,8
Physical Education,15,1,Punjab,Sahu (Oilman),0,0,0,1,Male,0,0,0,11.1,0.6,2.02,Dropout,6
Chemistry,10,0,Uttaranchal,Bharud,1,0,1,0,Male,0,12.5,0,12.4,0.5,1.79,Dropout,9
Psychology,16,1,Chhattisgarh,Varua,0,0,0,1,Male,0,11.29444444,12.6,15.5,2.8,-4.06,Graduate,6
Sociology,15,1,Manipur,Nayar,1,0,0,1,Male,0,11.2,12.5,15.5,2.8,-4.06,Graduate,8
Physics,16,1,Delhi,Julaha,1,0,0,1,Male,0,0,0,7.6,2.6,0.32,Dropout,9
English,13,1,Gujarat,Yadav,1,0,0,1,Male,0,13.2,11.8,16.2,0.3,-0.92,Graduate,6
Geography,10,1,Lakshadweep,Asrai,0,0,0,1,Male,1,14.14285714,14.125,12.4,0.5,1.79,Enrolled,9
Economics,13,1,Jharkhand,Gupta,1,0,0,0,Male,0,0,0,11.1,0.6,2.02,Dropout,9
Economics,16,1,Arunachal Pradesh,Gahatra,0,0,0,1,Male,0,0,13.33333333,16.2,0.3,-0.92,Enrolled,7
Economics,15,1,Karnataka,Pal,1,0,0,1,Male,1,12.33333333,10.57142857,10.8,1.4,1.74,Enrolled,9
Music,11,1,Sikkim,Kirishmam Vahaj,1,0,1,0,Male,0,0,0,11.1,0.6,2.02,Dropout,9
Psychology,12,1,Meghalaya,Pillaimor,1,0,0,1,Male,0,13.1,13.1,12.7,3.7,-1.7,Graduate,6
English,13,1,Uttar Pradesh,Julaha,1,0,0,1,Male,0,13.5,13.16666667,9.4,-0.8,-3.12,Graduate,6
Geography,15,1,Orissa,Nisad,0,0,0,1,Male,0,10.2,12,10.8,1.4,1.74,Enrolled,6
Political Science,11,1,Ladakh,Kumrawat,0,0,0,1,Male,0,11.57142857,13,16.2,0.3,-0.92,Dropout,6
Biology,16,1,Tripura,Konar,1,0,1,1,Male,0,15.28571429,15.16666667,12.4,0.5,1.79,Graduate,9
Music,13,1,Uttar Pradesh,Gahatra,0,0,0,1,Male,0,12.6,11,8.9,1.4,3.51,Enrolled,7
Physical Education,13,1,Arunachal Pradesh,S.C.,0,0,0,1,Male,0,13.43333333,13.6,8.9,1.4,3.51,Graduate,8
Economics,14,1,Ladakh,Kahar,1,0,0,1,Male,0,11.6,11,10.8,1.4,1.74,Dropout,6
Music,15,1,Bihar,Dhimer,0,0,0,1,Male,0,14.66666667,13.5,11.1,0.6,2.02,Graduate,8
English,14,1,Jammu & Kashmir,Kali,1,0,0,1,Male,0,14.66666667,14.66666667,12.7,3.7,-1.7,Graduate,7
Psychology,15,1,Chandigarh,Kumbhi,0,0,0,1,Male,0,12.74285714,12.74285714,12.7,3.7,-1.7,Graduate,6
Psychology,14,1,Dadra & Nagar Haveli,Paingam,1,0,0,1,Male,0,11.975,13.12857143,13.9,-0.3,0.79,Graduate,7
Geography,16,1,West Bengal,Hariagens,0,0,0,1,Male,0,12.25,11.66666667,13.9,-0.3,0.79,Enrolled,8
Physics,14,1,Lakshadweep,Serva,0,0,0,0,Male,0,0,0,9.4,-0.8,-3.12,Dropout,9
Psychology,10,1,Karnataka,Basod,1,0,0,1,Male,1,14.93571429,14.93571429,10.8,1.4,1.74,Graduate,6
Sociology,11,1,Telangana,Savaria Goad,1,0,0,1,Male,0,10.5,10,7.6,2.6,0.32,Dropout,9
Art,14,1,Nagaland,Nisad,1,0,0,1,Male,0,13.33333333,13,12.4,0.5,1.79,Graduate,8
Biology,14,1,Madhya Pradesh,Pal,0,0,1,1,Male,0,0,0,15.5,2.8,-4.06,Dropout,8
Music,14,1,Jharkhand,Teli,0,0,0,1,Male,0,13.8,14,12.7,3.7,-1.7,Dropout,8
English,14,1,Jharkhand,Konavar,0,0,0,1,Male,0,11.83333333,10.75,16.2,0.3,-0.92,Graduate,9
Physics,12,1,Rajasthan,Rautasvam,1,0,0,1,Male,0,0,0,11.1,0.6,2.02,Graduate,7
Physics,15,1,Gujarat,Manker,1,0,0,1,Male,0,0,0,16.2,0.3,-0.92,Dropout,6
Economics,12,1,Assam,Raghuransi,0,0,0,1,Male,0,10,0,15.5,2.8,-4.06,Dropout,6
Sociology,15,1,Dadra & Nagar Haveli,Muddim,1,0,0,1,Male,0,11.5,11.66666667,7.6,2.6,0.32,Dropout,7
Sociology,13,1,Orissa,Muredhia,0,0,0,1,Male,1,10.66666667,12,15.5,2.8,-4.06,Enrolled,6
Physics,12,1,Gujarat,Kalar,1,0,0,1,Male,1,0,0,12.4,0.5,1.79,Graduate,7
Sociology,12,1,Chandigarh,Katnatam,0,0,0,1,Male,0,12.75,13,10.8,1.4,1.74,Enrolled,9
Sociology,14,1,Bihar,Naveethm,0,0,1,0,Male,0,0,0,16.2,0.3,-0.92,Dropout,7
Computer Science,10,1,Goa,Thevar,0,0,0,1,Male,0,11.33333333,11.33333333,16.2,0.3,-0.92,Enrolled,7
History,12,1,Telangana,Yadav,1,0,1,0,Male,0,0,0,8.9,1.4,3.51,Enrolled,6
Sociology,16,1,Punjab,S.C.,0,0,0,1,Male,0,13,12.2,13.9,-0.3,0.79,Graduate,7
Other,10,0,Kerala,Addi Dirvisa,0,0,0,1,Male,0,10.75,11.33333333,7.6,2.6,0.32,Enrolled,9
Geography,14,1,Ladakh,Velalar,0,0,0,1,Male,0,12,10.5,13.9,-0.3,0.79,Enrolled,7
Psychology,15,1,Jammu & Kashmir,S.C.,1,0,0,1,Male,1,13.46285714,13.90625,11.1,0.6,2.02,Graduate,8
Sociology,15,1,Maharashtra,Muslman (Syed),0,0,0,1,Male,0,10,10,7.6,2.6,0.32,Dropout,9
Political Science,13,1,Kerala,Sain,1,0,0,1,Male,0,12.33333333,13.66666667,8.9,1.4,3.51,Graduate,8
Psychology,13,1,Telangana,Bhil,0,0,0,1,Male,1,12.52857143,12.41666667,15.5,2.8,-4.06,Enrolled,9
Psychology,15,1,Andhra Pradesh,Barber/Nai,0,0,0,1,Male,1,0,0,9.4,-0.8,-3.12,Enrolled,8
Geography,13,1,Bihar,Bharud,1,0,1,0,Male,0,0,0,13.9,-0.3,0.79,Dropout,9
Computer Science,16,1,Tripura,Muslim/Sayd,1,0,0,1,Male,0,13.6,13.25,10.8,1.4,1.74,Graduate,7
Political Science,12,1,Chhattisgarh,Paingam,0,0,0,1,Male,0,12.33333333,14,13.9,-0.3,0.79,Dropout,7
Physics,10,1,Sikkim,Nisad,1,0,0,1,Male,0,11.45454545,12.25,12.4,0.5,1.79,Dropout,6
History,14,1,Madhya Pradesh,Gomolu,0,0,1,1,Male,0,13.5,14.4,11.1,0.6,2.02,Dropout,8
Geography,11,1,Ladakh,B.C.,0,0,0,0,Male,0,0,0,10.8,1.4,1.74,Dropout,9
Other,14,0,Maharashtra,Murg,0,0,0,0,Male,0,11,0,12.7,3.7,-1.7,Dropout,9
Sociology,15,1,Daman & Diu,Chipa,0,0,0,1,Male,0,13.71428571,14.33333333,16.2,0.3,-0.92,Dropout,8
Maths,15,1,Mizoram,Ambacam,1,0,1,0,Male,0,12.36363636,12.25,11.1,0.6,2.02,Dropout,7
Biology,10,1,Nagaland,Pollar,0,0,0,1,Male,0,10.66666667,11.5,15.5,2.8,-4.06,Enrolled,8
English,16,1,Tripura,Kandyadr,0,0,0,1,Male,0,12,12.66666667,12.7,3.7,-1.7,Dropout,8
Chemistry,11,0,Uttaranchal,Manker,0,0,0,1,Male,0,12.85714286,13.16666667,12.7,3.7,-1.7,Graduate,7
Art,14,1,Telangana,Jasodi,0,0,0,1,Male,1,13.125,12.71428571,11.1,0.6,2.02,Enrolled,6
Economics,11,1,Andhra Pradesh,Teli,0,0,0,1,Male,0,0,11.5,15.5,2.8,-4.06,Dropout,6
Sociology,12,1,Punjab,Kallar,0,0,0,1,Male,0,13.5,0,15.5,2.8,-4.06,Dropout,9
Biology,13,1,Maharashtra,Vareth,0,0,1,0,Male,0,15.09090909,15,11.1,0.6,2.02,Dropout,8
Foreign Language,12,1,Telangana,Yadev,1,0,0,1,Male,0,12.4,11.8,7.6,2.6,0.32,Enrolled,6
History,10,1,Kerala,Mooppar,0,0,0,0,Male,0,14,14.8,11.1,0.6,2.02,Enrolled,6
Biology,15,1,Assam,Thakur,0,0,0,1,Male,0,13.5,13,15.5,2.8,-4.06,Dropout,9
Economics,13,1,Chhattisgarh,Kirishmam Vahaj,1,0,0,1,Male,0,0,0,12.4,0.5,1.79,Dropout,7
Psychology,12,1,Kerala,Saildar,0,0,0,1,Male,0,12.65,10.66666667,16.2,0.3,-0.92,Dropout,6
Other,12,0,Lakshadweep,Vallalam,0,0,0,1,Male,0,0,0,16.2,0.3,-0.92,Dropout,6
Other,11,0,Punjab,Gada,1,0,0,0,Male,0,0,0,7.6,2.6,0.32,Dropout,6
English,14,1,Orissa,Kumhar (Potter),1,0,0,1,Male,1,13.33333333,12.8,9.4,-0.8,-3.12,Graduate,9
Other,14,0,Tamil Nadu,Slaute,0,0,0,1,Male,0,11.33333333,11.14285714,13.9,-0.3,0.79,Dropout,8
Chemistry,12,0,Jharkhand,Baba,1,0,0,1,Male,0,0,0,9.4,-0.8,-3.12,Dropout,6
Physics,15,1,Jammu & Kashmir,Padaiachi,0,0,0,1,Male,0,0,0,10.8,1.4,1.74,Dropout,7
Other,11,0,Andhra Pradesh,Sowrstra,0,0,0,0,Male,0,11.66666667,10.5,7.6,2.6,0.32,Dropout,7
Chemistry,11,0,Himachal Pradesh,Banjara,0,0,0,1,Male,0,12.16666667,14.42857143,12.4,0.5,1.79,Graduate,9
Music,14,1,Lakshadweep,Sutare,1,0,0,1,Male,0,13.33333333,12.75,11.1,0.6,2.02,Graduate,6
English,14,1,Sikkim,Pal,1,0,0,1,Male,0,11.4,11,7.6,2.6,0.32,Enrolled,9
Chemistry,11,0,Pondicherry,Gara,0,0,0,1,Male,0,12.14285714,0,16.2,0.3,-0.92,Dropout,6
Biology,11,1,Bihar,Dhoby,0,0,0,1,Male,0,13.05882353,12.30769231,15.5,2.8,-4.06,Graduate,6
Biology,15,1,Madhya Pradesh,Sahu (Oilman),0,0,0,1,Male,0,11.75,10.5,15.5,2.8,-4.06,Enrolled,8
Sociology,12,1,Mizoram,Varua,0,0,1,0,Male,0,11.83333333,10,8.9,1.4,3.51,Dropout,6
Political Science,11,1,Arunachal Pradesh,Pillaimor,0,0,0,1,Male,0,12.4,11.8,13.9,-0.3,0.79,Graduate,6
English,12,1,Punjab,Asari,0,0,0,1,Male,0,13.42857143,11.5,13.9,-0.3,0.79,Enrolled,8
Economics,16,1,Tripura,Tshima Miar,0,0,0,0,Male,0,0,0,10.8,1.4,1.74,Dropout,7
Other,11,0,Punjab,Sachiyar,0,0,0,1,Male,0,11,13.4,15.5,2.8,-4.06,Graduate,7
Sociology,15,1,Delhi,Vellar,0,0,0,1,Male,1,13.625,14.42857143,11.1,0.6,2.02,Graduate,8
Geography,14,1,Bihar,Vijmar,0,0,0,1,Male,0,11.8,11.5,15.5,2.8,-4.06,Enrolled,6
Other,15,0,Assam,Kewet,0,0,0,1,Male,0,0,0,13.9,-0.3,0.79,Dropout,6
Geography,10,1,Mizoram,Pr/Sc,0,0,0,1,Male,0,15,13.5,15.5,2.8,-4.06,Dropout,9
Political Science,12,1,Tamil Nadu,Dhobi,0,0,0,1,Male,0,10.8,11,7.6,2.6,0.32,Graduate,7
Economics,14,1,Andhra Pradesh,Asari,0,0,0,1,Male,0,13.66666667,11.33333333,9.4,-0.8,-3.12,Dropout,9
Music,13,1,Bihar,Yadav,0,0,0,1,Male,0,12.83333333,13.33333333,15.5,2.8,-4.06,Graduate,7
Physics,11,1,Assam,Sahu (Oilman),0,0,0,0,Male,0,0,0,7.6,2.6,0.32,Dropout,7
Art,10,1,Andhra Pradesh,Akamow Door,0,0,0,1,Male,0,15.125,13.42857143,11.1,0.6,2.02,Graduate,8
Economics,14,1,Ladakh,Guvati,1,0,0,1,Male,0,0,10,16.2,0.3,-0.92,Dropout,6
Political Science,12,1,Pondicherry,Baba,0,0,0,1,Male,0,11.4,11,10.8,1.4,1.74,Graduate,8
Political Science,14,1,Punjab,Pal,0,0,0,1,Male,0,12.25,11,9.4,-0.8,-3.12,Graduate,7
Sociology,15,1,Dadra & Nagar Haveli,F.C.,0,0,0,0,Male,0,0,0,16.2,0.3,-0.92,Dropout,7
Geography,12,1,Manipur,Sudre,0,0,0,1,Male,0,14,14,12.4,0.5,1.79,Enrolled,6
English,11,1,Orissa,Kurmi,0,0,0,1,Male,0,12.33333333,10.8,16.2,0.3,-0.92,Enrolled,8
Economics,13,1,Maharashtra,Asrai,0,0,1,1,Male,1,10.66666667,11,15.5,2.8,-4.06,Enrolled,8
Geography,15,1,Tamil Nadu,Kali,1,0,0,1,Male,0,11.83333333,14.71428571,12.4,0.5,1.79,Enrolled,6
Economics,15,1,Arunachal Pradesh,Vijmar,0,0,0,1,Male,0,0,0,11.1,0.6,2.02,Dropout,7
English,14,1,Bihar,Othei,1,0,0,1,Male,1,11.66666667,12.16666667,7.6,2.6,0.32,Enrolled,6
Computer Science,15,1,Delhi,Kurma,1,0,0,0,Male,0,13,0,12.7,3.7,-1.7,Dropout,9
Other,16,0,Karnataka,Bhil,0,0,0,1,Male,0,0,0,10.8,1.4,1.74,Dropout,8
Psychology,10,1,Rajasthan,Jain,0,0,0,1,Male,0,0,0,10.8,1.4,1.74,Dropout,6
Geography,11,1,Assam,Ambalm,0,0,0,1,Male,1,13,14.2,8.9,1.4,3.51,Graduate,7
Political Science,16,1,Rajasthan,Soni (Sunar),0,0,0,1,Male,1,13.85714286,14,13.9,-0.3,0.79,Graduate,7
Psychology,10,1,Andhra Pradesh,Manigaicr,0,0,0,1,Male,0,13.39166667,12.4875,12.4,0.5,1.79,Graduate,8
Economics,15,1,Mizoram,Kalar,1,0,0,1,Male,1,12.75,0,7.6,2.6,0.32,Dropout,9
Computer Science,13,1,Karnataka,Gada,1,0,0,1,Male,0,14.5,14.6,10.8,1.4,1.74,Graduate,7
Political Science,10,1,Himachal Pradesh,Reddy,0,0,0,1,Male,0,12.16666667,12.16666667,12.4,0.5,1.79,Graduate,7
Computer Science,16,1,Kerala,Bhunjwa,1,0,0,1,Male,0,15.4,15.6,12.7,3.7,-1.7,Dropout,6
Geography,16,1,Goa,Padaychi,0,0,1,0,Male,0,13.33333333,16,16.2,0.3,-0.92,Dropout,9
Other,11,0,Uttar Pradesh,Mehra,0,0,0,1,Male,0,0,0,12.7,3.7,-1.7,Dropout,9
English,11,1,Jharkhand,Dhobi (Washerman),0,0,0,1,Male,0,0,0,15.5,2.8,-4.06,Dropout,7
Sociology,11,1,Chandigarh,Akamow Door,0,0,0,1,Male,0,13.71428571,14.71428571,16.2,0.3,-0.92,Graduate,7
Political Science,16,1,West Bengal,Sikhi,0,0,0,1,Male,0,12.25,0,8.9,1.4,3.51,Dropout,8
English,13,1,Telangana,Nanda,0,0,0,1,Male,0,16,16.5,13.9,-0.3,0.79,Enrolled,9
Other,13,0,Jammu & Kashmir,Vasudev,1,0,0,1,Male,0,11,13,9.4,-0.8,-3.12,Dropout,8
Psychology,15,1,Sikkim,Gahatra,1,0,0,1,Male,0,14.08571429,14.08571429,7.6,2.6,0.32,Enrolled,8
Political Science,15,1,Daman & Diu,Sai Teli,1,0,0,1,Male,0,10.16666667,10.5,12.7,3.7,-1.7,Graduate,8
Geography,16,1,Dadra & Nagar Haveli,Shikari Pardhi,0,0,0,1,Male,0,10,0,8.9,1.4,3.51,Dropout,6
Geography,10,1,Ladakh,Sai Teli,1,0,0,1,Male,0,0,10,7.6,2.6,0.32,Enrolled,9
Other,10,0,Daman & Diu,Jain,1,0,0,0,Male,0,10.5,10.66666667,9.4,-0.8,-3.12,Dropout,8
Physics,12,1,Mizoram,Sudhar,1,0,0,1,Male,1,0,0,12.7,3.7,-1.7,Graduate,8
English,13,1,Ladakh,Verma,0,0,1,0,Male,1,0,0,15.5,2.8,-4.06,Dropout,9
Chemistry,12,0,Andaman & Nicobar Islands,Vijmar,0,0,0,1,Male,0,0,0,7.6,2.6,0.32,Dropout,7
Biology,12,1,Ladakh,Bhaina,1,0,0,1,Male,0,0,0,16.2,0.3,-0.92,Dropout,8
Biology,13,1,Jharkhand,Manker,0,0,0,1,Male,0,13.33333333,12.4,12.4,0.5,1.79,Graduate,9
Physics,13,1,Jharkhand,Nai (Barber),1,0,0,1,Male,1,0,0,9.4,-0.8,-3.12,Dropout,6
Art,10,1,Himachal Pradesh,Chaman,0,0,0,1,Male,1,13.57142857,14.33333333,12.4,0.5,1.79,Graduate,7
English,15,1,Kerala,Lular,1,0,0,1,Male,1,12.83333333,11.16666667,11.1,0.6,2.02,Graduate,8
Other,15,0,Chandigarh,"Badai (Khati, Carpenter)",0,0,0,1,Male,0,10.25,11.2,15.5,2.8,-4.06,Dropout,9
Computer Science,11,1,Mizoram,Muslman (Syed),0,0,0,1,Male,0,0,0,12.4,0.5,1.79,Dropout,6
Geography,11,1,Telangana,S.C.,1,0,1,1,Male,0,14.5,13.33333333,11.1,0.6,2.02,Dropout,9
Geography,16,1,Jammu & Kashmir,Konar,0,0,0,1,Male,0,15.8,13.71428571,11.1,0.6,2.02,Enrolled,7
Biology,12,1,West Bengal,Goad,1,0,0,0,Male,0,0,0,15.5,2.8,-4.06,Dropout,8
Geography,13,1,Arunachal Pradesh,Akamow Door,1,0,0,1,Male,0,12.5,14.66666667,7.6,2.6,0.32,Enrolled,7
Biology,13,1,West Bengal,Jasodi,0,0,0,1,Male,0,11.66666667,11.5,15.5,2.8,-4.06,Graduate,8
Other,11,0,Pondicherry,Raghuransi,0,0,0,1,Male,0,13,13,7.6,2.6,0.32,Graduate,8
Psychology,15,1,Mizoram,Rawat,0,0,0,1,Male,0,12.12142857,11.50625,12.4,0.5,1.79,Graduate,7
History,15,1,Ladakh,Iyar,1,0,0,1,Male,1,14.22222222,13.75,8.9,1.4,3.51,Graduate,9
Art,13,1,Lakshadweep,Padaiachi,0,0,0,1,Male,0,12.5,13.25,13.9,-0.3,0.79,Enrolled,6
Geography,12,1,Madhya Pradesh,Raghuransi,1,0,0,1,Male,0,12.16666667,15.28571429,12.4,0.5,1.79,Graduate,6
Art,14,1,Jammu & Kashmir,Banjara,0,1,0,1,Male,1,0,0,12.4,0.5,1.79,Dropout,7
Sociology,14,1,Haryana,Goad,1,0,0,1,Male,0,12.66666667,11.5,12.4,0.5,1.79,Graduate,8
Psychology,14,1,Gujarat,Manikpuri,0,0,0,1,Male,0,13.61428571,13.61428571,12.7,3.7,-1.7,Graduate,9
Computer Science,11,1,Uttar Pradesh,Meher,1,0,0,1,Male,0,12.85714286,14.3,16.2,0.3,-0.92,Graduate,6
Computer Science,13,1,Tripura,Gahatra,0,0,0,1,Male,0,14,14.2,7.6,2.6,0.32,Graduate,9
Art,14,1,Sikkim,Sanyasi,1,0,0,1,Male,1,14.75,11.8,12.7,3.7,-1.7,Graduate,8
History,14,1,Bihar,Muredhia,0,0,0,1,Male,0,0,0,7.6,2.6,0.32,Dropout,6
Art,10,1,Nagaland,Saildar,1,0,0,1,Male,0,13.625,14.28571429,11.1,0.6,2.02,Graduate,9
Physics,14,1,Andaman & Nicobar Islands,Pallai,0,0,0,1,Male,0,0,0,7.6,2.6,0.32,Graduate,9
Biology,12,1,Tamil Nadu,Adiwari,1,0,0,1,Male,0,11.8,11.875,16.2,0.3,-0.92,Dropout,9
Biology,10,1,Karnataka,Muddim,0,0,0,1,Male,0,15.125,14.6,16.2,0.3,-0.92,Graduate,9
Sociology,12,1,Lakshadweep,Muslim/Sayd,1,0,0,1,Male,0,11.5,10.5,9.4,-0.8,-3.12,Dropout,7
Geography,10,1,Pondicherry,Jain,0,0,1,1,Male,0,10,11,8.9,1.4,3.51,Enrolled,8
Music,14,1,Jharkhand,Chetiar,0,0,0,1,Male,0,0,0,9.4,-0.8,-3.12,Dropout,9
Economics,13,1,Manipur,Bangali,1,0,0,1,Male,0,10.33333333,12.8,12.4,0.5,1.79,Graduate,7
Geography,13,1,Telangana,Yadav,1,0,0,1,Male,0,0,11.66666667,10.8,1.4,1.74,Enrolled,7
Biology,16,1,Chandigarh,Banji,0,0,0,1,Male,1,12,12.5,15.5,2.8,-4.06,Enrolled,8
Music,11,1,Tripura,Pallai,1,0,0,1,Male,0,13.83333333,14.5,8.9,1.4,3.51,Graduate,8
